,S. No.,Message_body,Label,cleaned,target
25,26,Hi its in durban are you still on this number,Non-Spam,durban still number,0
26,27,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",Non-Spam,taking derek amp taylor walmart back time done leave mouse desk text priscilla ready,0
27,28,U still havent got urself a jacket ah?,Non-Spam,still havent got urself jacket,0
28,29,Armand says get your ass over to epsilon,Non-Spam,armand say get epsilon,0
29,30,Yeah it's jus rite...,Non-Spam,yeah jus rite,0
30,31,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,Spam,asked mobile chatlines inclu free min india cust servs sed yes ler got mega bill dont giv shit bailiff due day want,1
31,32,Just sleeping..and surfing,Non-Spam,sleepingand surfing,0
32,33,I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,Non-Spam,believe attached seeing every day know best get babe teach class midnight,0
33,34,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,Spam,want explicit sex sec ring cost pmin gsex pobox wcn,1
34,35,Aiyah ok wat as long as got improve can already wat...,Non-Spam,aiyah wat long got improve already wat,0
35,36,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",Non-Spam,know thinkin malaria relax child cant handle malaria would worse gastroenteritis take enough replace loss temp reduce give malaria med vomit self limiting illness mean day stop,0
36,37,Ok which your another number,Non-Spam,another number,0
37,38,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ",Non-Spam,hey chief give bell get need talk royal visit june,0
38,39,happened here while you were adventuring,Non-Spam,happened adventuring,0
39,40,Compliments to you. Was away from the system. How your side.,Non-Spam,away system side,0
40,41,I think that tantrum's finished so yeah I'll be by at some point,Non-Spam,think tantrum finished yeah point,0
41,42,What about this one then.,Non-Spam,one,0
42,43,Its just the effect of irritation. Just ignore it,Non-Spam,effect irritation ignore,0
43,44,"Total disappointment, when I texted you was the craziest shit got :(",Non-Spam,total disappointment texted craziest shit got,0
44,45,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,Spam,private account statement show unredeemed sim point call identifier code expires,1
45,46,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs,Non-Spam,want tell bad feel basically time text lately need drug,0
46,47,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,Spam,awarded sipix digital camera call landline delivery within day box mbp warranty ppm,1
47,48,Going to join tomorrow.,Non-Spam,going join tomorrow,0
48,49,Thats cool. I want to please you...,Non-Spam,thats cool want please,0
49,50,You are a big chic. Common. Declare,Non-Spam,big chic declare,0
50,51,No. I dont want to hear anything,Non-Spam,dont want hear anything,0
51,52,Can you pls send me that company name. In saibaba colany,Non-Spam,pls send name saibaba colany,0
52,53,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.",Non-Spam,way put skip right outside front house see house pull,0
53,54,Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt,Non-Spam,mile smile made frm letter know difference smile face keep happy even though mile away keep smiling good nyt,0
54,55,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",Non-Spam,referin mei wat waitin treat somebody shld rich liaoso den dun work frm tmr onwards,0
55,56,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,Non-Spam,great role model giving much really wish day miracle god reason everything must say wish knew dont looked since young still great day,0
56,57,Oh... Okie lor...We go on sat... ,Non-Spam,okie lorwe sat,0
57,58,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave,Non-Spam,yes please leave ltgt ltgt leave,0
58,59,"Just making dinner, you ?",Non-Spam,making dinner,0
59,60,"Its reassuring, in this crazy world.",Non-Spam,reassuring crazy world,0
60,61,I went to project centre,Non-Spam,went project centre,0
61,62,Lol they were mad at first but then they woke up and gave in.,Non-Spam,lol mad first woke gave,0
62,63,"Machan you go to gym tomorrow,  i wil come late goodnight.",Non-Spam,machan gym tomorrow wil late goodnight,0
63,64,I want to be inside you every night...,Non-Spam,want inside every night,0
64,65,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8,Non-Spam,god love limit god grace measure god power boundary may god endless blessing always life gud,0
65,66,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.,Non-Spam,told tell stupid hear wont tell anything dad called brother spoken,0
66,67,Wait . I will msg after  &lt;#&gt;  min.,Non-Spam,wait msg ltgt min,0
67,68,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI",Non-Spam,perhaps much easy give account identification tomorrow uni,0
68,69,Apo all other are mokka players only,Non-Spam,apo mokka player,0
69,70,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04,Spam,private account statement show unredeemed point call identifier code expires,1
70,71,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night,Non-Spam,love one law make happy person love way friendship one law never make friend feel alone alive gud night,0
71,72,Now get step 2 outta the way. Congrats again.,Non-Spam,get step outta way congrats,0
72,73,Why did I wake up on my own &gt;:(,Non-Spam,wake,0
73,74,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",Spam,service inclusive text credit pls goto login qxj unsubscribe stop extra charge help,1
74,75,Yes... I trust u to buy new stuff ASAP so I can try it out,Non-Spam,yes trust buy new stuff asap try,0
75,76,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ...",Non-Spam,good afternoon love day sleep hope well boytoy think,0
76,77,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.",Non-Spam,cool shall see tip anyway home got something drop later let town tonight maybe mum take,0
77,78,I think if he rule tamilnadu..then its very tough for our people.,Non-Spam,think rule tamilnaduthen tough people,0
78,79,Marvel Mobile Play the official Ultimate Spider-man game (£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper,Spam,marvel mobile play official ultimate spiderman game mobile right text spider game send free ball wallpaper,1
79,80,U studying in sch or going home? Anyway i'll b going 2 sch later.,Non-Spam,studying sch going home anyway going sch later,0
80,81,K. I will sent it again,Non-Spam,sent,0
81,82,Oh thanks a lot..i already bought 2 eggs ..,Non-Spam,thanks loti already bought egg,0
82,83,K. I will sent it again,Non-Spam,sent,0
83,84,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out,Spam,per min call germany line per min check info text stop opt,1
84,85,Ofcourse I also upload some songs,Non-Spam,ofcourse also upload song,0
85,86,Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(,Non-Spam,also fuck family going rhode island wherever fuck leaving alone week new bong,0
86,87,", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy",Non-Spam,picking various point going yeovil motor project hour take home max easy,0
87,88,So li hai... Me bored now da lecturer repeating last weeks stuff waste time... ,Non-Spam,hai bored lecturer repeating last week stuff waste time,0
88,89,URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm,Spam,urgent trying contact last weekend draw show prize guaranteed call claim code valid,1
89,90,Shall call now dear having food,Non-Spam,shall call dear food,0
90,91,Have you seen who's back at Holby?!,Non-Spam,seen back holby,0
91,92,Really do hope the work doesnt get stressful. Have a gr8 day.,Non-Spam,really hope work doesnt get stressful day,0
92,93,No probably  &lt;#&gt; %.,Non-Spam,probably ltgt,0
93,94,What Today-sunday..sunday is holiday..so no work..,Non-Spam,todaysundaysunday holidayso work,0
94,95,Yes princess! I want to please you every night. Your wish is my command...,Non-Spam,yes princess want please every night wish,0
95,96,Dhoni have luck to win some big title.so we will win:),Non-Spam,dhoni luck win big titleso win,0
96,97,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?,Non-Spam,mummy boy good bad positive negative mummy made wait hmmmm,0
97,98,Ok lor ü reaching then message me.,Non-Spam,lor reaching message,0
98,99,Well obviously not because all the people in my cool college life went home ;_;,Non-Spam,well obviously people cool college life went home,0
99,100,Yup,Non-Spam,yup,0
100,101,I thought slide is enough.,Non-Spam,thought slide enough,0
101,102,Ok lor.,Non-Spam,lor,0
102,103,"URGENT! Last weekend's draw shows that you have won £1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm",Spam,urgent last weekend draw show cash spanish holiday call claim rstm ppm,1
103,104,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,Spam,get garden ready summer free selection summer bulb seed worth scotsman saturday stop notxtcouk,1
104,105,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡,Spam,wmlidadafirsttruec ringtone,1
105,106,Shall I bring us a bottle of wine to keep us amused? Only joking! Ill bring one anyway,Non-Spam,shall bring bottle wine keep amused joking ill bring one anyway,0
106,107,I will treasure every moment we spend together...,Non-Spam,treasure every moment spend together,0
107,108,U GOIN OUT 2NITE?,Non-Spam,goin nite,0
108,109,Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv,Spam,txt call claim reward hour talk time use phone subscribegbpmnth inc stoptxtstop,1
109,110,Ok i thk i got it. Then u wan me 2 come now or wat?,Non-Spam,thk got wan wat,0
110,111,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,Spam,december mobile mths entitled update latest colour camera mobile free call mobile update free,1
111,112,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,Non-Spam,hear loud scream ltgt minute cause gyno shoving thing belong,0
112,113,"Sorry, I'll call later",Non-Spam,sorry call later,0
113,114,Arun can u transfr me d amt,Non-Spam,arun transfr amt,0
114,115,For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk,Spam,sparkling shopping break per person call visit,1
115,116,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.,Non-Spam,wishing beautiful day moment revealing even thing keep smiling enjoy,0
116,117,Im just wondering what your doing right now?,Non-Spam,wondering right,0
117,118,Except theres a chick with huge boobs.,Non-Spam,except chick huge boob,0
118,119,What???? Hello wats talks email address?,Non-Spam,hello wats talk email address,0
119,120,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,Non-Spam,sing think also important find someone female know place well preferably citizen also smart help navigate even thing like choosing phone plan require guidance doubt ask especially girl,0
120,121,Sac needs to carry on:),Non-Spam,sac need carry,0
121,122,"Latest News! Police station toilet stolen, cops have nothing to go on!",Spam,latest news police station toilet stolen cop nothing,1
122,123,"aight we can pick some up, you open before tonight?",Non-Spam,aight pick open tonight,0
123,124,So that takes away some money worries,Non-Spam,take away money worry,0
124,125,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,Non-Spam,back good journey let know need receipt shall tell like pendent,0
125,126,"And that's fine, I got enough bud to last most of the night at least",Non-Spam,fine got enough bud last night least,0
126,127,Good morning. At the repair shop--the ONLY reason i'm up at this hour.,Non-Spam,good morning repair shopthe reason hour,0
127,128,You have won a guaranteed 32000 award or maybe even £1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,Spam,guaranteed award maybe even cash claim award call free legitimat efreefone number wat think,1
128,129,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",Non-Spam,thought get watch thats kind thing getanth love much,0
129,130,"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",Non-Spam,way make sure get train worc foregate street shrub hill fun night,0
130,131,Thank you. do you generally date the brothas?,Non-Spam,thank generally date brothas,0
131,132,Hey i've booked the 2 lessons on sun liao...,Non-Spam,hey booked lesson sun liao,0
132,133,What are youdoing later? Sar xxx,Non-Spam,youdoing later sar xxx,0
133,134,Am slow in using biola's fne,Non-Spam,slow using biola fne,0
134,135,Mode men or have you left.,Non-Spam,mode men left,0
135,136,I'm wif him now buying tix lar...,Non-Spam,wif buying tix lar,0
136,137,Jesus armand really is trying to tell everybody he can find,Non-Spam,jesus armand really trying tell everybody find,0
137,138,You're gonna have to be way more specific than that,Non-Spam,gon way specific,0
138,139,Thanx a lot 4 ur help!,Non-Spam,thanx lot help,0
139,140,If I was I wasn't paying attention,Non-Spam,paying attention,0
140,141,"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around",Non-Spam,make time tonight whenever cool text whenever around,0
141,142,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can",Non-Spam,yeah sorry tell pubcafe sit wen,0
142,143,You didnt complete your gist oh.,Non-Spam,didnt gist,0
143,144,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,Spam,santa calling would little one like call santa xmas eve call book time,1
144,145,Oh yeah! And my diet just flew out the window,Non-Spam,yeah diet flew window,0
145,146,Otherwise had part time job na-tuition..,Non-Spam,otherwise part time job natuition,0
146,147,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,Non-Spam,horrible gal knew dat going wif yest still ask,0
147,148,"Sorry, I'll call later",Non-Spam,sorry call later,0
148,149,Ok k..sry i knw 2 siva..tats y i askd..,Non-Spam,ksry knw sivatats askd,0
149,150,"Hi elaine, is today's meeting confirmed?",Non-Spam,elaine today meeting confirmed,0
150,151,I dont know oh. Hopefully this month.,Non-Spam,dont know hopefully month,0
151,152,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story),Non-Spam,bruce amp fowler mom car park long story,0
152,153,So how are you really. What are you up to. How's the masters. And so on.,Non-Spam,really master,0
153,154,Nope. I just forgot. Will show next week,Non-Spam,nope forgot show next week,0
154,155,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!,Non-Spam,slave want take picture today bright light cell phone bright light,0
155,156,You should get more chicken broth if you want ramen unless there's some I don't know about,Non-Spam,get chicken broth want ramen unless know,0
156,157,East coast,Non-Spam,east coast,0
157,158,Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,Non-Spam,nite nite pocay wocay luv thing eva promise ring morrowxxxx,0
158,159,Gr8. So how do you handle the victoria island traffic. Plus when's the album due,Non-Spam,handle victoria island traffic plus album due,0
159,160,I ask if u meeting da ge tmr nite...,Non-Spam,ask meeting tmr nite,0
160,161,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?",Non-Spam,daddy shu shu looking wan tell singapore wat,0
161,162,There is a first time for everything :),Non-Spam,first time everything,0
162,163,... Are you in the pub?,Non-Spam,pub,0
163,164,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...,Non-Spam,yup msg tat yijue tot group mate meeting today mah askin leaving earlier wat mah mayb haf walk far,0
164,165,Dear are you angry i was busy dear,Non-Spam,dear angry busy dear,0
165,166,So how many days since then?,Non-Spam,many day since,0
166,167,Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,Non-Spam,pls give prometazine syrup ltgt min later feed,0
167,168,So gd got free ice cream... I oso wan...,Non-Spam,got free ice cream oso wan,0
168,169,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx,Non-Spam,babe thanks even though didnt welli wanted bed hope see soon love kiss xxx,0
169,170,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,Non-Spam,babe think got brolly left english wil bring mrw luv franxx,0
170,171,HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!?????ud evening...,Non-Spam,hard true much show amp express love someonethat much hurt leave get seperatedud evening,0
171,172,And he's apparently bffs with carly quick now,Non-Spam,apparently bffs carly quick,0
172,173,Hi. Hope you had a good day. Have a better night.,Non-Spam,hope good day better night,0
173,174,That's necessarily respectful,Non-Spam,necessarily respectful,0
174,175,As in i want custom officer discount oh.,Non-Spam,want custom officer discount,0
175,176,Dunno lei shd b driving lor cos i go sch 1 hr oni.,Non-Spam,dunno lei shd driving lor sch oni,0
176,177,I dont know exactly could you ask chechi.,Non-Spam,dont know exactly could ask chechi,0
177,178,"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!",Non-Spam,done handed know mega shop asda count celebration thats,0
178,179,Ooooooh I forgot to tell u I can get on yoville on my phone,Non-Spam,ooooooh forgot tell get yoville phone,0
179,180,Watching ajith film ah?,Non-Spam,watching ajith film,0
180,181,Nt joking seriously i told,Non-Spam,joking seriously told,0
181,182,Ok.ok ok..then..whats ur todays plan,Non-Spam,okok okthenwhats today plan,0
182,183,NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!,Non-Spam,much fight good nite,0
183,184,I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...,Non-Spam,gentle baby soon taking ltgt inch deep inside tight pussy,0
184,185,I'm at work. Please call,Non-Spam,work please call,0
185,186,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,Non-Spam,friend help problem give stupid suggestion land another problem help forgt previous problem,0
186,187,How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.Im knackered and im dreading work tonight. What are thou upto tonight. X,Non-Spam,babe hope shit night sleep fell asleep knackered dreading work tonight thou upto tonight,0
187,188,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.,Non-Spam,good day toopray meremove teeth painful maintaining stuff,0
188,189,"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad",Non-Spam,make squeezed ltgt buck dad,0
189,190,You have 1 new message. Call 0207-083-6089,Spam,new message call,1
190,191,Its sunny in california. The weather's just cool,Non-Spam,sunny california weather cool,0
191,192,Somebody set up a website where you can play hold em using eve online spacebucks,Non-Spam,somebody set website play hold using eve online spacebucks,0
192,193,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022",Spam,free entry grprizes wkly chance win latest nokia psp cash every wktxt great,1
193,194,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,Spam,current leading bid pause auction send customer care,1
194,195,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.,Non-Spam,want leave barely stay sane fighting constantly helping,0
195,196,I cant pick the phone right now. Pls send a message,Non-Spam,cant pick phone right pls send message,0
196,197,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,Non-Spam,konw waht rael friendship gving yuo exmpel jsut ese tihs msg evrey splleing tihs msg wrnog sitll yuo raed wihtuot ayn mitsake goodnight amp nice sleepsweet dream,0
197,198,"K I'll head out in a few mins, see you there",Non-Spam,head min see,0
198,199,"Ok., is any problem to u frm him? Wats matter?",Non-Spam,problem frm wats matter,0
199,200,"Lol, oh you got a friend for the dog ?",Non-Spam,lol got friend dog,0
200,201,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,Spam,datingi two started sent text talk sport radio last week connection think coincidence,1
201,202,Hi mom we might be back later than  &lt;#&gt; ,Non-Spam,mom might back later ltgt,0
202,203,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,Spam,important message final contact attempt important message waiting customer claim dept expires call,1
203,204,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,Non-Spam,trying figure suppose see couple different people week said get together set date,0
204,205,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611,Spam,xmas reward waiting randomly picked loyal mobile customer receive reward call,1
205,206,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),Spam,call send girl erotic ecstacy pmin stop text call nat rate,1
206,207,"I think your mentor is , but not 100 percent sure.",Non-Spam,think mentor percent sure,0
207,208,I'm in inside office..still filling forms.don know when they leave me.,Non-Spam,inside officestill filling formsdon know leave,0
208,209,Yep get with the program. You're slacking.,Non-Spam,yep get program slacking,0
209,210,"Hey, iouri gave me your number, I'm wylie, ryan's friend",Non-Spam,hey iouri gave number wylie ryan friend,0
210,211,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,Non-Spam,face test ltgt select number tell face astrology waiting quick reply,0
211,212,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,Non-Spam,hmm shall bring bottle wine keep amused joking still bring bottle red white see tomorrow,0
212,213,Ok,Non-Spam,,0
213,214,Tell me something. Thats okay.,Non-Spam,tell something thats okay,0
214,215,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",Non-Spam,living simple loving also simple laughing simple winning tooo simple difficult,0
215,216,Aiyo cos i sms ü then ü neva reply so i wait 4 ü to reply lar. I tot ü havent finish ur lab wat.,Non-Spam,aiyo neva reply wait reply lar tot havent finish lab wat,0
216,217,Guai... Ü shd haf seen him when he's naughty... Ü so free today? Can go jogging...,Non-Spam,guai shd haf seen naughty free today jogging,0
217,218,Good morning princess! Have a great day!,Non-Spam,good morning princess great day,0
218,219,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,Non-Spam,yup paragon havent decided whether cut yet hee,0
219,220,No one interested. May be some business plan.,Non-Spam,one interested may business plan,0
220,221,I'm home...,Non-Spam,home,0
221,222,Do I? I thought I put it back in the box,Non-Spam,thought put back box,0
222,223,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,Non-Spam,sir trip bus last week another audition next wednesday think might drive time,0
223,224,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",Non-Spam,parent kidz friend colleague screaming surprise waiting sofa naked,0
224,225,Wat ü doing now?,Non-Spam,wat,0
225,226,When you guys planning on coming over?,Non-Spam,guy planning,0
226,227,No go. No openings for that room 'til after thanksgiving without an upcharge.,Non-Spam,opening room thanksgiving without upcharge,0
227,228,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",Spam,subscribed wkly wks free question follows subsequent wks charged msg unsubscribe txt stop custcare,1
228,229,And of course you should make a stink!,Non-Spam,course make stink,0
229,230,Are u awake? Is there snow there?,Non-Spam,awake snow,0
230,231,You'd like that wouldn't you? Jerk!,Non-Spam,like would jerk,0
231,232,So when do you wanna gym?,Non-Spam,wan gym,0
232,233,My birthday is on feb  &lt;#&gt;  da. .,Non-Spam,birthday feb ltgt,0
233,234,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.,Non-Spam,sound better evening costume sure time finish tomorrow txt end,0
234,235,No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.,Non-Spam,pride almost ltgt year old takin money kid supposed deal stuff grownup stuffwhy tell,0
235,236,"Garbage bags, eggs, jam, bread, hannaford wheat chex",Non-Spam,garbage bag egg jam bread hannaford wheat chex,0
236,237,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",Non-Spam,neither sterm voice studying fine sure thing resolved tho anyway fab hols,0
